,Player,Club,Age,Position,Nation,Value,Contract Years Left
0,Kylian Mbappé,Paris Saint-Germain,22,attack,France,144000000.0,1
1,Erling Haaland,Borussia Dortmund,21,attack,Norway,117000000.0,3
2,Harry Kane,Tottenham Hotspur,28,attack,England,108000000.0,3
3,Neymar,Paris Saint-Germain,29,attack,Brazil,90000000.0,4
4,Mohamed Salah,Liverpool FC,29,attack,Egypt,90000000.0,2
5,Jadon Sancho,Manchester United,21,attack,England,90000000.0,5
6,Kevin De Bruyne,Manchester City,30,midfield,Belgium,90000000.0,4
7,Kevin De Bruyne,Manchester City,30,midfield,Belgium,90000000.0,4
8,Romelu Lukaku,Chelsea FC,28,attack,Belgium,90000000.0,5
9,Romelu Lukaku,Chelsea FC,28,attack,Belgium,90000000.0,5
10,Raheem Sterling,Manchester City,26,attack,England,81000000.0,2
11,Joshua Kimmich,Bayern Munich,26,midfield,Germany,81000000.0,2
12,Frenkie de Jong,FC Barcelona,24,midfield,Netherlands,81000000.0,5
13,Bruno Fernandes,Manchester United,26,midfield,Portugal,81000000.0,4
14,Heung-min Son,Tottenham Hotspur,29,attack,"Korea, South",76500000.0,4
15,Sadio Mané,Liverpool FC,29,attack,Senegal,76500000.0,2
16,Marcus Rashford,Manchester United,23,attack,England,76500000.0,2
17,Lionel Messi,Paris Saint-Germain,34,attack,Argentina,72000000.0,2
18,João Félix,Atlético de Madrid,21,attack,Portugal,72000000.0,5
19,Marcos Llorente,Atlético de Madrid,26,midfield,Spain,72000000.0,3
20,Lautaro Martínez,Inter Milan,23,attack,Argentina,72000000.0,2
21,Pedri,FC Barcelona,18,midfield,Spain,72000000.0,1
22,Phil Foden,Manchester City,21,attack,England,72000000.0,3
23,Rúben Dias,Manchester City,24,Defender,Portugal,67500000.0,5
24,Mason Mount,Chelsea FC,22,midfield,England,67500000.0,3
25,Marquinhos,Paris Saint-Germain,27,Defender,Brazil,67500000.0,3
26,Matthijs de Ligt,Juventus FC,22,Defender,Netherlands,67500000.0,3
27,Trent Alexander-Arnold,Liverpool FC,22,Defender,England,67500000.0,4
28,Serge Gnabry,Bayern Munich,26,attack,Germany,63000000.0,2
29,Kai Havertz,Chelsea FC,22,midfield,Germany,63000000.0,4
30,Kai Havertz,Chelsea FC,22,midfield,Germany,63000000.0,4
31,Raphaël Varane,Manchester United,28,Defender,France,63000000.0,4
32,Bernardo Silva,Manchester City,27,midfield,Portugal,63000000.0,4
33,Mikel Oyarzabal,Real Sociedad,24,attack,Spain,63000000.0,3
34,Rodri,Manchester City,25,midfield,Spain,63000000.0,3
35,Sergej Milinković-Savić,SS Lazio,26,midfield,Serbia,63000000.0,3
36,Casemiro,Real Madrid,29,midfield,Brazil,63000000.0,2
37,Alphonso Davies,Bayern Munich,20,Defender,Canada,63000000.0,4
38,Leon Goretzka,Bayern Munich,26,midfield,Germany,63000000.0,1
39,Jan Oblak,Atlético de Madrid,28,Goalkeeper,Slovenia,63000000.0,2
40,Declan Rice,West Ham United,22,midfield,England,63000000.0,3
41,Federico Chiesa,Juventus FC,23,attack,Italy,63000000.0,1
42,Nicolò Barella,Inter Milan,24,midfield,Italy,58500000.0,3
43,Nicolò Barella,Inter Milan,24,midfield,Italy,58500000.0,3
44,Jack Grealish,Manchester City,25,attack,England,58500000.0,6
45,Gianluigi Donnarumma,Paris Saint-Germain,22,Goalkeeper,Italy,58500000.0,5
46,Bukayo Saka,Arsenal FC,19,midfield,England,58500000.0,3
47,Andrew Robertson,Liverpool FC,27,Defender,Scotland,58500000.0,3
48,Timo Werner,Chelsea FC,25,attack,Germany,58500000.0,4
49,Kingsley Coman,Bayern Munich,25,attack,France,58500000.0,2
50,Fede Valverde,Real Madrid,23,midfield,Uruguay,58500000.0,4
51,Achraf Hakimi,Paris Saint-Germain,22,Defender,Morocco,54000000.0,5
52,Gabriel Jesus,Manchester City,24,attack,Brazil,54000000.0,2
53,Gabriel Jesus,Manchester City,24,attack,Brazil,54000000.0,2
54,Wilfred Ndidi,Leicester City,24,midfield,Nigeria,54000000.0,3
55,Paul Pogba,Manchester United,28,midfield,France,54000000.0,1
56,Milan Skriniar,Inter Milan,26,Defender,Slovakia,54000000.0,2
57,Milan Skriniar,Inter Milan,26,Defender,Slovakia,54000000.0,2
58,Alessandro Bastoni,Inter Milan,22,Defender,Italy,54000000.0,3
59,Antoine Griezmann,FC Barcelona,30,attack,France,54000000.0,3
60,Alisson,Liverpool FC,28,Goalkeeper,Brazil,54000000.0,6
61,Robert Lewandowski,Bayern Munich,32,attack,Poland,54000000.0,2
62,Marc-André ter Stegen,FC Barcelona,29,Goalkeeper,Germany,54000000.0,4
63,Leroy Sané,Bayern Munich,25,attack,Germany,54000000.0,4
64,Ansu Fati,FC Barcelona,18,attack,Spain,54000000.0,1
65,Dayot Upamecano,Bayern Munich,22,Defender,France,54000000.0,5
66,Jules Koundé,Sevilla FC,22,Defender,France,54000000.0,3
67,Jules Koundé,Sevilla FC,22,Defender,France,54000000.0,3
68,Koke,Atlético de Madrid,29,midfield,Spain,54000000.0,3
69,Thibaut Courtois,Real Madrid,29,Goalkeeper,Belgium,54000000.0,3
70,José María Giménez,Atlético de Madrid,26,Defender,Uruguay,54000000.0,4
71,Fabinho,Liverpool FC,27,midfield,Brazil,54000000.0,5
72,Richarlison,Everton FC,24,attack,Brazil,49500000.0,3
73,Jude Bellingham,Borussia Dortmund,18,midfield,England,49500000.0,4
74,N'Golo Kanté,Chelsea FC,30,midfield,France,49500000.0,2
75,Youri Tielemans,Leicester City,24,midfield,Belgium,49500000.0,2
76,James Maddison,Leicester City,24,midfield,England,49500000.0,3
77,Franck Kessié,AC Milan,24,midfield,Cote d'Ivoire,49500000.0,1
78,Eduardo Camavinga,Stade Rennais FC,18,midfield,France,49500000.0,1
79,Eduardo Camavinga,Stade Rennais FC,18,midfield,France,49500000.0,1
80,Virgil van Dijk,Liverpool FC,30,Defender,Netherlands,49500000.0,4
81,João Cancelo,Manchester City,27,Defender,Portugal,49500000.0,4
82,Marco Verratti,Paris Saint-Germain,28,midfield,Italy,49500000.0,3
83,David Alaba,Real Madrid,29,Defender,Austria,49500000.0,5
84,Ferland Mendy,Real Madrid,26,Defender,France,45000000.0,4
85,Victor Osimhen,SSC Napoli,22,attack,Nigeria,45000000.0,4
86,Piotr Zielinski,SSC Napoli,27,midfield,Poland,45000000.0,3
87,Christian Pulisic,Chelsea FC,22,attack,United States,45000000.0,3
88,Harry Maguire,Manchester United,28,Defender,England,45000000.0,4
89,Mason Greenwood,Manchester United,19,attack,England,45000000.0,4
90,Ousmane Dembélé,FC Barcelona,24,attack,France,45000000.0,1
91,Tanguy Ndombélé,Tottenham Hotspur,24,midfield,France,45000000.0,4
92,Theo Hernández,AC Milan,23,Defender,France,45000000.0,3
93,Roberto Firmino,Liverpool FC,29,attack,Brazil,45000000.0,2
94,Paulo Dybala,Juventus FC,27,attack,Argentina,45000000.0,1
95,Pau Torres,Villarreal CF,24,Defender,Spain,45000000.0,3
96,Dani Olmo,RB Leipzig,23,midfield,Spain,45000000.0,3
97,Stefan de Vrij,Inter Milan,29,Defender,Netherlands,45000000.0,2
98,Ederson,Manchester City,27,Goalkeeper,Brazil,45000000.0,4
99,Ferran Torres,Manchester City,21,attack,Spain,45000000.0,4
100,Lorenzo Insigne,SSC Napoli,30,attack,Italy,43200000.0,1
101,Kalidou Koulibaly,SSC Napoli,30,Defender,Senegal,43200000.0,2
102,Rúben Neves,Wolverhampton Wanderers,24,midfield,Portugal,40500000.0,3
103,Caglar Söyüncü,Leicester City,25,Defender,Turkey,40500000.0,2
104,Dominic Calvert-Lewin,Everton FC,24,attack,England,40500000.0,4
105,Lucas Hernández,Bayern Munich,25,Defender,France,40500000.0,3
106,Florian Wirtz,Bayer 04 Leverkusen,18,midfield,Germany,40500000.0,5
107,Hirving Lozano,SSC Napoli,26,attack,Mexico,40500000.0,3
108,Luis Alberto,SS Lazio,28,midfield,Spain,40500000.0,4
109,Wilfried Zaha,Crystal Palace,28,attack,Cote d'Ivoire,40500000.0,2
110,Anthony Martial,Manchester United,25,attack,France,40500000.0,3
111,Anthony Martial,Manchester United,25,attack,France,40500000.0,3
112,Fabián Ruiz,SSC Napoli,25,midfield,Spain,40500000.0,2
113,Diego Carlos,Sevilla FC,28,Defender,Brazil,40500000.0,3
114,André Silva,RB Leipzig,25,attack,Portugal,40500000.0,5
115,Memphis Depay,FC Barcelona,27,attack,Netherlands,40500000.0,2
116,Mateo Kovacic,Chelsea FC,27,midfield,Croatia,40500000.0,3
117,Diogo Jota,Liverpool FC,24,attack,Portugal,40500000.0,4
118,Cristiano Ronaldo,Juventus FC,36,attack,Portugal,40500000.0,1
119,Cristiano Ronaldo,Juventus FC,36,attack,Portugal,40500000.0,1
120,Jorginho,Chelsea FC,29,midfield,Italy,40500000.0,2
121,Álvaro Morata,Juventus FC,28,attack,Spain,40500000.0,1
122,Ben Chilwell,Chelsea FC,24,Defender,England,40500000.0,4
123,Ben Chilwell,Chelsea FC,24,Defender,England,40500000.0,4
124,Aymeric Laporte,Manchester City,27,Defender,Spain,40500000.0,4
125,Christopher Nkunku,RB Leipzig,23,midfield,France,38700000.0,3
126,Marcel Sabitzer,RB Leipzig,27,midfield,Austria,37800000.0,1
127,Houssem Aouar,Olympique Lyon,23,midfield,France,37800000.0,2
128,Luke Shaw,Manchester United,26,Defender,England,37800000.0,2
129,Riyad Mahrez,Manchester City,30,attack,Algeria,37800000.0,2
130,Yannick Carrasco,Atlético de Madrid,27,attack,Belgium,36000000.0,3
131,Dejan Kulusevski,Juventus FC,21,attack,Sweden,36000000.0,4
132,Christian Eriksen,Inter Milan,29,midfield,Denmark,36000000.0,3
133,Wesley Fofana,Leicester City,20,Defender,France,36000000.0,4
134,Raphaël Guerreiro,Borussia Dortmund,27,Defender,Portugal,36000000.0,2
135,Thomas Partey,Arsenal FC,28,midfield,Ghana,36000000.0,4
136,Vinícius Júnior,Real Madrid,21,attack,Brazil,36000000.0,4
137,Vinícius Júnior,Real Madrid,21,attack,Brazil,36000000.0,4
138,Kalvin Phillips,Leeds United,25,midfield,England,36000000.0,3
139,Kalvin Phillips,Leeds United,25,midfield,England,36000000.0,3
140,Rodrigo de Paul,Atlético de Madrid,27,midfield,Argentina,36000000.0,5
141,Saúl Ñíguez,Atlético de Madrid,26,midfield,Spain,36000000.0,5
142,Nicolò Zaniolo,AS Roma,22,midfield,Italy,36000000.0,3
143,Ángel Correa,Atlético de Madrid,26,attack,Argentina,36000000.0,3
144,Reece James,Chelsea FC,21,Defender,England,36000000.0,4
145,Gerard Moreno,Villarreal CF,29,attack,Spain,36000000.0,6
146,Lorenzo Pellegrini,AS Roma,25,midfield,Italy,36000000.0,1
147,Marcelo Brozovic,Inter Milan,28,midfield,Croatia,36000000.0,1
148,Tomas Soucek,West Ham United,26,midfield,Czech Republic,36000000.0,3
149,Ilkay Gündogan,Manchester City,30,midfield,Germany,36000000.0,2
150,Lucas Ocampos,Sevilla FC,27,attack,Argentina,36000000.0,3
151,Mauro Icardi,Paris Saint-Germain,28,attack,Argentina,36000000.0,3
152,Youssef En-Nesyri,Sevilla FC,24,attack,Morocco,36000000.0,4
153,Dusan Vlahovic,ACF Fiorentina,21,attack,Serbia,36000000.0,2
154,Dusan Vlahovic,ACF Fiorentina,21,attack,Serbia,36000000.0,2
155,Carlos Soler,Valencia CF,24,midfield,Spain,36000000.0,2
156,Alexander Isak,Real Sociedad,21,attack,Sweden,36000000.0,5
157,Presnel Kimpembe,Paris Saint-Germain,26,Defender,France,36000000.0,3
158,Mikel Merino,Real Sociedad,25,midfield,Spain,36000000.0,4
159,Arthur,Juventus FC,25,midfield,Brazil,36000000.0,4
160,Arthur,Juventus FC,25,midfield,Brazil,36000000.0,4
161,Edmond Tapsoba,Bayer 04 Leverkusen,22,Defender,Burkina Faso,36000000.0,5
162,Toni Kroos,Real Madrid,31,midfield,Germany,36000000.0,2
163,Pierre-Emile Höjbjerg,Tottenham Hotspur,26,midfield,Denmark,36000000.0,4
164,Eden Hazard,Real Madrid,30,attack,Belgium,36000000.0,3
165,Aaron Wan-Bissaka,Manchester United,23,Defender,England,36000000.0,3
166,Martin Ødegaard,Real Madrid,22,midfield,Norway,36000000.0,2
167,Martin Ødegaard,Real Madrid,22,midfield,Norway,36000000.0,2
168,Éder Militão,Real Madrid,23,Defender,Brazil,36000000.0,4
169,Jamal Musiala,Bayern Munich,18,midfield,Germany,34200000.0,5
170,Jamal Musiala,Bayern Munich,18,midfield,Germany,34200000.0,5
171,Moussa Diaby,Bayer 04 Leverkusen,22,attack,France,34200000.0,4
172,Tammy Abraham,Chelsea FC,23,attack,England,34200000.0,2
173,Tammy Abraham,Chelsea FC,23,attack,England,34200000.0,2
174,Giovanni Reyna,Borussia Dortmund,18,midfield,United States,34200000.0,4
175,Ismaël Bennacer,AC Milan,23,midfield,Algeria,34200000.0,3
176,Ciro Immobile,SS Lazio,31,attack,Italy,34200000.0,4
177,Hakim Ziyech,Chelsea FC,28,midfield,Morocco,34200000.0,4
178,Boubacar Kamara,Olympique Marseille,21,midfield,France,33299999.999999996,1
179,Scott McTominay,Manchester United,24,midfield,Scotland,31500000.0,4
180,Cristian Romero,Tottenham Hotspur,23,Defender,Argentina,31500000.0,1
181,Cristian Romero,Tottenham Hotspur,23,Defender,Argentina,31500000.0,1
182,Domenico Berardi,US Sassuolo,27,attack,Italy,31500000.0,3
183,Moise Kean,Everton FC,21,attack,Italy,31500000.0,3
184,Harvey Barnes,Leicester City,23,midfield,England,31500000.0,3
185,Wissam Ben Yedder,AS Monaco,31,attack,France,31500000.0,3
186,Wissam Ben Yedder,AS Monaco,31,attack,France,31500000.0,3
187,Angeliño,RB Leipzig,24,Defender,Spain,31500000.0,4
188,Florian Neuhaus,Borussia Mönchengladbach,24,midfield,Germany,31500000.0,3
189,Pedro Neto,Wolverhampton Wanderers,21,attack,Portugal,31500000.0,4
190,Lucas Digne,Everton FC,28,Defender,France,31500000.0,4
191,Marcus Thuram,Borussia Mönchengladbach,24,attack,France,31500000.0,2
192,Marcus Thuram,Borussia Mönchengladbach,24,attack,France,31500000.0,2
193,Lucas Paquetá,Olympique Lyon,23,midfield,Brazil,31500000.0,4
194,Manuel Locatelli,US Sassuolo,23,midfield,Italy,31500000.0,2
195,Manuel Locatelli,US Sassuolo,23,midfield,Italy,31500000.0,2
196,Andrea Belotti,Torino FC,27,attack,Italy,31500000.0,1
197,Andrea Belotti,Torino FC,27,attack,Italy,31500000.0,1
198,Emiliano Martínez,Aston Villa,28,Goalkeeper,Argentina,31500000.0,3
199,Douglas Luiz,Aston Villa,23,midfield,Brazil,31500000.0,2
200,Filip Kostic,Eintracht Frankfurt,28,midfield,Serbia,31500000.0,2
201,Leon Bailey,Aston Villa,24,attack,Jamaica,31500000.0,4
202,Leon Bailey,Aston Villa,24,attack,Jamaica,31500000.0,4
203,Emiliano Buendía,Aston Villa,24,attack,Argentina,31500000.0,5
204,José Gayà,Valencia CF,26,Defender,Spain,31500000.0,2
205,Ibrahima Konaté,Liverpool FC,22,Defender,France,31500000.0,5
206,Ibrahima Konaté,Liverpool FC,22,Defender,France,31500000.0,5
207,Mario Hermoso,Atlético de Madrid,26,Defender,Spain,31500000.0,3
208,Robin Gosens,Atalanta BC,27,Defender,Germany,31500000.0,2
209,Jonathan David,LOSC Lille,21,attack,Canada,31500000.0,4
210,Jonathan David,LOSC Lille,21,attack,Canada,31500000.0,4
211,Rodrygo,Real Madrid,20,attack,Brazil,31500000.0,4
212,Rodrygo,Real Madrid,20,attack,Brazil,31500000.0,4
213,Marco Asensio,Real Madrid,25,attack,Spain,31500000.0,2
214,Hakan Calhanoglu,Inter Milan,27,midfield,Turkey,31500000.0,3
215,Niklas Süle,Bayern Munich,25,Defender,Germany,31500000.0,1
216,Rodrigo Bentancur,Juventus FC,24,midfield,Uruguay,31500000.0,3
217,Nicolas Pépé,Arsenal FC,26,attack,Cote d'Ivoire,31500000.0,3
218,Benjamin Pavard,Bayern Munich,25,Defender,France,31500000.0,3
219,Jordan Veretout,AS Roma,28,midfield,France,29700000.0,3
220,Duván Zapata,Atalanta BC,30,attack,Colombia,29700000.0,2
221,Ollie Watkins,Aston Villa,25,attack,England,28800000.0,4
222,Davinson Sánchez,Tottenham Hotspur,25,Defender,Colombia,28800000.0,3
223,Ante Rebic,AC Milan,27,attack,Croatia,28800000.0,4
224,Nathan Aké,Manchester City,26,Defender,Netherlands,28800000.0,4
225,Naby Keïta,Liverpool FC,26,midfield,Guinea,28800000.0,2
226,Callum Hudson-Odoi,Chelsea FC,20,attack,England,28800000.0,3
227,Kieran Tierney,Arsenal FC,24,Defender,Scotland,28800000.0,5
228,Kurt Zouma,Chelsea FC,26,Defender,France,28800000.0,2
229,Kurt Zouma,Chelsea FC,26,Defender,France,28800000.0,2
230,Adrien Rabiot,Juventus FC,26,midfield,France,27000000.0,2
231,James Ward-Prowse,Southampton FC,26,midfield,England,27000000.0,4
232,Tyrone Mings,Aston Villa,28,Defender,England,27000000.0,3
233,Sergiño Dest,FC Barcelona,20,Defender,United States,27000000.0,4
234,Jonathan Ikoné,LOSC Lille,23,attack,France,27000000.0,2
235,Kevin Volland,AS Monaco,29,attack,Germany,27000000.0,3
236,Jarrod Bowen,West Ham United,24,attack,England,27000000.0,4
237,Raphinha,Leeds United,24,attack,Brazil,27000000.0,3
238,Joan Jordán,Sevilla FC,27,midfield,Spain,27000000.0,2
239,Matheus Cunha,Hertha BSC,22,attack,Brazil,27000000.0,4
240,Gianluca Mancini,AS Roma,25,Defender,Italy,27000000.0,3
241,Bruno Guimarães,Olympique Lyon,23,midfield,Brazil,27000000.0,3
242,Matthias Ginter,Borussia Mönchengladbach,27,Defender,Germany,27000000.0,1
243,Manuel Akanji,Borussia Dortmund,26,Defender,Switzerland,27000000.0,2
244,Curtis Jones,Liverpool FC,20,midfield,England,27000000.0,4
245,Aurélien Tchouaméni,AS Monaco,21,midfield,France,27000000.0,3
246,Denis Zakaria,Borussia Mönchengladbach,24,midfield,Switzerland,27000000.0,1
247,Leander Dendoncker,Wolverhampton Wanderers,26,midfield,Belgium,27000000.0,2
248,Leander Dendoncker,Wolverhampton Wanderers,26,midfield,Belgium,27000000.0,2
249,Daniel Carvajal,Real Madrid,29,Defender,Spain,27000000.0,4
250,John Stones,Manchester City,27,Defender,England,27000000.0,5
251,John Stones,Manchester City,27,Defender,England,27000000.0,5
252,John McGinn,Aston Villa,26,midfield,Scotland,27000000.0,4
253,Adama Traoré,Wolverhampton Wanderers,25,attack,Spain,27000000.0,2
254,Amine Gouiri,OGC Nice,21,attack,France,27000000.0,3
255,Allan Saint-Maximin,Newcastle United,24,attack,France,27000000.0,5
256,Wout Weghorst,VfL Wolfsburg,29,attack,Netherlands,27000000.0,2
257,Luis Muriel,Atalanta BC,30,attack,Colombia,27000000.0,2
258,Luis Muriel,Atalanta BC,30,attack,Colombia,27000000.0,2
259,Dele Alli,Tottenham Hotspur,25,midfield,England,27000000.0,3
260,Joe Gomez,Liverpool FC,24,Defender,England,27000000.0,3
261,Matteo Politano,SSC Napoli,28,attack,Italy,27000000.0,3
262,Renato Sanches,LOSC Lille,23,midfield,Portugal,27000000.0,2
263,Bryan Gil,Tottenham Hotspur,20,attack,Spain,27000000.0,5
264,Georginio Wijnaldum,Paris Saint-Germain,30,midfield,Netherlands,27000000.0,3
265,Thiago,Liverpool FC,30,midfield,Spain,27000000.0,3
266,Joaquín Correa,SS Lazio,27,attack,Argentina,27000000.0,3
267,Philippe Coutinho,FC Barcelona,29,midfield,Brazil,27000000.0,2
268,Donny van de Beek,Manchester United,24,midfield,Netherlands,27000000.0,4
269,Donny van de Beek,Manchester United,24,midfield,Netherlands,27000000.0,4
270,Andreas Christensen,Chelsea FC,25,Defender,Denmark,27000000.0,1
271,Donyell Malen,Borussia Dortmund,22,attack,Netherlands,27000000.0,5
272,Donyell Malen,Borussia Dortmund,22,attack,Netherlands,27000000.0,5
273,Thomas Müller,Bayern Munich,31,attack,Germany,27000000.0,2
274,Ricardo Pereira,Leicester City,27,Defender,Portugal,27000000.0,2
275,Ruslan Malinovskyi,Atalanta BC,28,midfield,Ukraine,27000000.0,2
276,Raúl Jiménez,Wolverhampton Wanderers,30,attack,Mexico,25200000.0,3
277,Andrej Kramaric,TSG 1899 Hoffenheim,30,attack,Croatia,25200000.0,1
278,Merih Demiral,Atalanta BC,23,Defender,Turkey,25200000.0,1
279,Kyle Walker,Manchester City,31,Defender,England,25200000.0,3
280,Kyle Walker,Manchester City,31,Defender,England,25200000.0,3
281,Maxence Lacroix,VfL Wolfsburg,21,Defender,France,25200000.0,3
282,Antonio Rüdiger,Chelsea FC,28,Defender,Germany,25200000.0,1
283,Evan N'Dicka,Eintracht Frankfurt,21,Defender,France,25200000.0,2
284,Ben White,Arsenal FC,23,Defender,England,25200000.0,5
285,Fikayo Tomori,AC Milan,23,Defender,England,25200000.0,4
286,Benoît Badiashile,AS Monaco,20,Defender,France,25200000.0,3
287,Nélson Semedo,Wolverhampton Wanderers,27,Defender,Portugal,25200000.0,2
288,Timothy Castagne,Leicester City,25,Defender,Belgium,25200000.0,4
289,Boubakary Soumaré,Leicester City,22,midfield,France,25200000.0,5
290,Sven Botman,LOSC Lille,21,Defender,Netherlands,25200000.0,4
291,Oleksandr Zinchenko,Manchester City,24,Defender,Ukraine,25200000.0,3
292,James Rodríguez,Everton FC,30,midfield,Colombia,25200000.0,1
293,Patrik Schick,Bayer 04 Leverkusen,25,attack,Czech Republic,25200000.0,4
294,Aleksandr Golovin,AS Monaco,25,midfield,Russia,25200000.0,3
295,Aleksandr Golovin,AS Monaco,25,midfield,Russia,25200000.0,3
296,Alexandre Lacazette,Arsenal FC,30,attack,France,25200000.0,1
297,Nico Elvedi,Borussia Mönchengladbach,24,Defender,Switzerland,25200000.0,3
298,Rayan Cherki,Olympique Lyon,17,midfield,France,24300000.0,2
299,Rayan Cherki,Olympique Lyon,17,midfield,France,24300000.0,2
300,Giovani Lo Celso,Tottenham Hotspur,25,midfield,Argentina,24300000.0,4
301,Thorgan Hazard,Borussia Dortmund,28,attack,Belgium,24300000.0,3
302,Dani Ceballos,Real Madrid,25,midfield,Spain,24300000.0,2
303,Sandro Tonali,AC Milan,21,midfield,Italy,24300000.0,5
304,Xaver Schlager,VfL Wolfsburg,23,midfield,Austria,24300000.0,2
305,Lukas Klostermann,RB Leipzig,25,Defender,Germany,24300000.0,3
306,Lukas Klostermann,RB Leipzig,25,Defender,Germany,24300000.0,3
307,Emre Can,Borussia Dortmund,27,midfield,Germany,23400000.0,3
308,Konrad Laimer,RB Leipzig,24,midfield,Austria,23400000.0,2
309,Leonardo Spinazzola,AS Roma,28,Defender,Italy,23400000.0,3
310,Jérémy Doku,Stade Rennais FC,19,attack,Belgium,23400000.0,4
311,Jonathan Bamba,LOSC Lille,25,midfield,France,22500000.0,2
312,Renan Lodi,Atlético de Madrid,23,Defender,Brazil,22500000.0,4
313,James Tarkowski,Burnley FC,28,Defender,England,22500000.0,1
314,Jordan Pickford,Everton FC,27,Goalkeeper,England,22500000.0,3
315,Gabriel,Arsenal FC,23,Defender,Brazil,22500000.0,4
316,André Zambo Anguissa,Fulham FC,25,midfield,Cameroon,22500000.0,2
317,Pierre-Emerick Aubameyang,Arsenal FC,32,attack,Gabon,22500000.0,2
318,Remo Freuler,Atalanta BC,29,midfield,Switzerland,22500000.0,1
319,Daichi Kamada,Eintracht Frankfurt,25,midfield,Japan,22500000.0,2
320,Silas Katompa Mvumpa,VfB Stuttgart,22,midfield,DR Congo,22500000.0,3
321,Dominik Szoboszlai,RB Leipzig,20,attack,Hungary,22500000.0,5
322,Dominik Szoboszlai,RB Leipzig,20,attack,Hungary,22500000.0,5
323,Michael Keane,Everton FC,28,Defender,England,22500000.0,4
324,Nordi Mukiele,RB Leipzig,23,Defender,France,22500000.0,2
325,Nabil Fekir,Real Betis Balompié,28,midfield,France,22500000.0,2
326,Nikola Milenkovic,ACF Fiorentina,23,Defender,Serbia,22500000.0,1
327,Ridle Baku,VfL Wolfsburg,23,Defender,Germany,22500000.0,4
328,Gonçalo Guedes,Valencia CF,24,attack,Portugal,22500000.0,2
329,Emerson Royal,FC Barcelona,22,Defender,Brazil,22500000.0,3
330,Edouard Mendy,Chelsea FC,29,Goalkeeper,Senegal,22500000.0,4
331,Ben Godfrey,Everton FC,23,Defender,England,22500000.0,4
332,Maxi Gómez,Valencia CF,25,attack,Uruguay,22500000.0,3
333,Thilo Kehrer,Paris Saint-Germain,24,Defender,Germany,22500000.0,2
334,Abdoulaye Doucouré,Everton FC,28,midfield,France,22500000.0,2
335,Abdou Diallo,Paris Saint-Germain,25,Defender,Senegal,22500000.0,3
336,Stefan Savic,Atlético de Madrid,30,Defender,Montenegro,22500000.0,3
337,Lucas Moura,Tottenham Hotspur,29,attack,Brazil,22500000.0,3
338,Ronald Araújo,FC Barcelona,22,Defender,Uruguay,22500000.0,2
339,Ronald Araújo,FC Barcelona,22,Defender,Uruguay,22500000.0,2
340,Karim Benzema,Real Madrid,33,attack,France,22500000.0,1
341,Daniel Podence,Wolverhampton Wanderers,25,attack,Portugal,22500000.0,3
342,Fábio Silva,Wolverhampton Wanderers,19,attack,Portugal,22500000.0,4
343,Fábio Silva,Wolverhampton Wanderers,19,attack,Portugal,22500000.0,4
344,Iñaki Williams,Athletic Bilbao,27,attack,Spain,22500000.0,7
345,Iñaki Williams,Athletic Bilbao,27,attack,Spain,22500000.0,7
346,Yves Bissouma,Brighton &amp; Hove Albion,24,midfield,Mali,22500000.0,2
347,Weston McKennie,Juventus FC,22,midfield,United States,22500000.0,4
348,Roger Ibañez,AS Roma,22,Defender,Brazil,22500000.0,4
349,Lewis Dunk,Brighton &amp; Hove Albion,29,Defender,England,22500000.0,4
350,Mike Maignan,AC Milan,26,Goalkeeper,France,22500000.0,5
351,Sergio Reguilón,Tottenham Hotspur,24,Defender,Spain,22500000.0,4
352,Thomas Lemar,Atlético de Madrid,25,midfield,France,22500000.0,2
353,Wojciech Szczesny,Juventus FC,31,Goalkeeper,Poland,22500000.0,3
354,Héctor Bellerín,Arsenal FC,26,Defender,Spain,22500000.0,2
355,Héctor Bellerín,Arsenal FC,26,Defender,Spain,22500000.0,2
356,Héctor Bellerín,Arsenal FC,26,Defender,Spain,22500000.0,2
357,Conor Coady,Wolverhampton Wanderers,28,Defender,England,22500000.0,4
358,Clément Lenglet,FC Barcelona,26,Defender,France,22500000.0,5
359,Marash Kumbulla,AS Roma,21,Defender,Albania,22500000.0,1
360,Jason Denayer,Olympique Lyon,26,Defender,Belgium,22500000.0,1
361,Alessio Romagnoli,AC Milan,26,Defender,Italy,22500000.0,1
362,Alessio Romagnoli,AC Milan,26,Defender,Italy,22500000.0,1
363,Rafael Leão,AC Milan,22,attack,Portugal,22500000.0,3
364,Ezri Konsa,Aston Villa,23,Defender,England,22500000.0,5
365,Davide Calabria,AC Milan,24,Defender,Italy,22500000.0,4
366,Pablo Sarabia,Paris Saint-Germain,29,attack,Spain,22500000.0,3
367,Jan Bednarek,Southampton FC,25,Defender,Poland,22500000.0,4
368,Ozan Kabak,FC Schalke 04,21,Defender,Turkey,22500000.0,3
369,Duje Caleta-Car,Olympique Marseille,24,Defender,Croatia,22500000.0,2
370,Victor Lindelöf,Manchester United,27,Defender,Sweden,21600000.0,3
371,Giovanni Di Lorenzo,SSC Napoli,28,Defender,Italy,21600000.0,5
372,Amadou Haidara,RB Leipzig,23,midfield,Mali,21600000.0,4
373,Mario Pasalic,Atalanta BC,26,midfield,Croatia,20700000.0,4
374,Mario Pasalic,Atalanta BC,26,midfield,Croatia,20700000.0,4
