Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Kylian Mbappé,Paris Saint-Germain,22,attack,France,144000000.0,1,Ligue 1
Erling Haaland,Borussia Dortmund,21,attack,Norway,117000000.0,3,Bundesliga
Harry Kane,Tottenham Hotspur,28,attack,England,108000000.0,3,Premier League
Neymar,Paris Saint-Germain,29,attack,Brazil,90000000.0,4,Ligue 1
Mohamed Salah,Liverpool FC,29,attack,Egypt,90000000.0,2,Premier League
Jadon Sancho,Manchester United,21,attack,England,90000000.0,5,Premier League
Kevin De Bruyne,Manchester City,30,midfield,Belgium,90000000.0,4,Premier League
Romelu Lukaku,Chelsea FC,28,attack,Belgium,90000000.0,5,Premier League
Raheem Sterling,Manchester City,26,attack,England,81000000.0,2,Premier League
Joshua Kimmich,Bayern Munich,26,midfield,Germany,81000000.0,2,Bundesliga
Frenkie de Jong,FC Barcelona,24,midfield,Netherlands,81000000.0,5,La Liga
Bruno Fernandes,Manchester United,26,midfield,Portugal,81000000.0,4,Premier League
Heung-min Son,Tottenham Hotspur,29,attack,"Korea, South",76500000.0,4,Premier League
Sadio Mané,Liverpool FC,29,attack,Senegal,76500000.0,2,Premier League
Marcus Rashford,Manchester United,23,attack,England,76500000.0,2,Premier League
Lionel Messi,Paris Saint-Germain,34,attack,Argentina,72000000.0,2,Ligue 1
João Félix,Atlético de Madrid,21,attack,Portugal,72000000.0,5,La Liga
Marcos Llorente,Atlético de Madrid,26,midfield,Spain,72000000.0,3,La Liga
Lautaro Martínez,Inter Milan,23,attack,Argentina,72000000.0,2,Serie A
Pedri,FC Barcelona,18,midfield,Spain,72000000.0,1,La Liga
Phil Foden,Manchester City,21,attack,England,72000000.0,3,Premier League
Rúben Dias,Manchester City,24,Defender,Portugal,67500000.0,5,Premier League
Mason Mount,Chelsea FC,22,midfield,England,67500000.0,3,Premier League
Marquinhos,Paris Saint-Germain,27,Defender,Brazil,67500000.0,3,Ligue 1
Matthijs de Ligt,Juventus FC,22,Defender,Netherlands,67500000.0,3,Serie A
Trent Alexander-Arnold,Liverpool FC,22,Defender,England,67500000.0,4,Premier League
Serge Gnabry,Bayern Munich,26,attack,Germany,63000000.0,2,Bundesliga
Kai Havertz,Chelsea FC,22,midfield,Germany,63000000.0,4,Premier League
Raphaël Varane,Manchester United,28,Defender,France,63000000.0,4,Premier League
Bernardo Silva,Manchester City,27,midfield,Portugal,63000000.0,4,Premier League
Mikel Oyarzabal,Real Sociedad,24,attack,Spain,63000000.0,3,La Liga
Rodri,Manchester City,25,midfield,Spain,63000000.0,3,Premier League
Sergej Milinković-Savić,SS Lazio,26,midfield,Serbia,63000000.0,3,Serie A
Casemiro,Real Madrid,29,midfield,Brazil,63000000.0,2,La Liga
Alphonso Davies,Bayern Munich,20,Defender,Canada,63000000.0,4,Bundesliga
Leon Goretzka,Bayern Munich,26,midfield,Germany,63000000.0,1,Bundesliga
Jan Oblak,Atlético de Madrid,28,Goalkeeper,Slovenia,63000000.0,2,La Liga
Declan Rice,West Ham United,22,midfield,England,63000000.0,3,Premier League
Federico Chiesa,Juventus FC,23,attack,Italy,63000000.0,1,Serie A
Nicolò Barella,Inter Milan,24,midfield,Italy,58500000.0,3,Serie A
Jack Grealish,Manchester City,25,attack,England,58500000.0,6,Premier League
Gianluigi Donnarumma,Paris Saint-Germain,22,Goalkeeper,Italy,58500000.0,5,Ligue 1
Bukayo Saka,Arsenal FC,19,midfield,England,58500000.0,3,Premier League
Andrew Robertson,Liverpool FC,27,Defender,Scotland,58500000.0,3,Premier League
Timo Werner,Chelsea FC,25,attack,Germany,58500000.0,4,Premier League
Kingsley Coman,Bayern Munich,25,attack,France,58500000.0,2,Bundesliga
Fede Valverde,Real Madrid,23,midfield,Uruguay,58500000.0,4,La Liga
Achraf Hakimi,Paris Saint-Germain,22,Defender,Morocco,54000000.0,5,Ligue 1
Gabriel Jesus,Manchester City,24,attack,Brazil,54000000.0,2,Premier League
Wilfred Ndidi,Leicester City,24,midfield,Nigeria,54000000.0,3,Premier League
Paul Pogba,Manchester United,28,midfield,France,54000000.0,1,Premier League
Milan Skriniar,Inter Milan,26,Defender,Slovakia,54000000.0,2,Serie A
Alessandro Bastoni,Inter Milan,22,Defender,Italy,54000000.0,3,Serie A
Antoine Griezmann,FC Barcelona,30,attack,France,54000000.0,3,La Liga
Alisson,Liverpool FC,28,Goalkeeper,Brazil,54000000.0,6,Premier League
Robert Lewandowski,Bayern Munich,32,attack,Poland,54000000.0,2,Bundesliga
Marc-André ter Stegen,FC Barcelona,29,Goalkeeper,Germany,54000000.0,4,La Liga
Leroy Sané,Bayern Munich,25,attack,Germany,54000000.0,4,Bundesliga
Ansu Fati,FC Barcelona,18,attack,Spain,54000000.0,1,La Liga
Dayot Upamecano,Bayern Munich,22,Defender,France,54000000.0,5,Bundesliga
Jules Koundé,Sevilla FC,22,Defender,France,54000000.0,3,La Liga
Koke,Atlético de Madrid,29,midfield,Spain,54000000.0,3,La Liga
Thibaut Courtois,Real Madrid,29,Goalkeeper,Belgium,54000000.0,3,La Liga
José María Giménez,Atlético de Madrid,26,Defender,Uruguay,54000000.0,4,La Liga
Fabinho,Liverpool FC,27,midfield,Brazil,54000000.0,5,Premier League
Richarlison,Everton FC,24,attack,Brazil,49500000.0,3,Premier League
Jude Bellingham,Borussia Dortmund,18,midfield,England,49500000.0,4,Bundesliga
N'Golo Kanté,Chelsea FC,30,midfield,France,49500000.0,2,Premier League
Youri Tielemans,Leicester City,24,midfield,Belgium,49500000.0,2,Premier League
James Maddison,Leicester City,24,midfield,England,49500000.0,3,Premier League
Franck Kessié,AC Milan,24,midfield,Cote d'Ivoire,49500000.0,1,Serie A
Eduardo Camavinga,Stade Rennais FC,18,midfield,France,49500000.0,1,Ligue 1
Virgil van Dijk,Liverpool FC,30,Defender,Netherlands,49500000.0,4,Premier League
João Cancelo,Manchester City,27,Defender,Portugal,49500000.0,4,Premier League
Marco Verratti,Paris Saint-Germain,28,midfield,Italy,49500000.0,3,Ligue 1
David Alaba,Real Madrid,29,Defender,Austria,49500000.0,5,La Liga
Ferland Mendy,Real Madrid,26,Defender,France,45000000.0,4,La Liga
Victor Osimhen,SSC Napoli,22,attack,Nigeria,45000000.0,4,Serie A
Piotr Zielinski,SSC Napoli,27,midfield,Poland,45000000.0,3,Serie A
Christian Pulisic,Chelsea FC,22,attack,United States,45000000.0,3,Premier League
Harry Maguire,Manchester United,28,Defender,England,45000000.0,4,Premier League
Mason Greenwood,Manchester United,19,attack,England,45000000.0,4,Premier League
Ousmane Dembélé,FC Barcelona,24,attack,France,45000000.0,1,La Liga
Tanguy Ndombélé,Tottenham Hotspur,24,midfield,France,45000000.0,4,Premier League
Theo Hernández,AC Milan,23,Defender,France,45000000.0,3,Serie A
Roberto Firmino,Liverpool FC,29,attack,Brazil,45000000.0,2,Premier League
Paulo Dybala,Juventus FC,27,attack,Argentina,45000000.0,1,Serie A
Pau Torres,Villarreal CF,24,Defender,Spain,45000000.0,3,La Liga
Dani Olmo,RB Leipzig,23,midfield,Spain,45000000.0,3,Bundesliga
Stefan de Vrij,Inter Milan,29,Defender,Netherlands,45000000.0,2,Serie A
Ederson,Manchester City,27,Goalkeeper,Brazil,45000000.0,4,Premier League
Ferran Torres,Manchester City,21,attack,Spain,45000000.0,4,Premier League
Lorenzo Insigne,SSC Napoli,30,attack,Italy,43200000.0,1,Serie A
Kalidou Koulibaly,SSC Napoli,30,Defender,Senegal,43200000.0,2,Serie A
Rúben Neves,Wolverhampton Wanderers,24,midfield,Portugal,40500000.0,3,Premier League
Caglar Söyüncü,Leicester City,25,Defender,Turkey,40500000.0,2,Premier League
Dominic Calvert-Lewin,Everton FC,24,attack,England,40500000.0,4,Premier League
Lucas Hernández,Bayern Munich,25,Defender,France,40500000.0,3,Bundesliga
Florian Wirtz,Bayer 04 Leverkusen,18,midfield,Germany,40500000.0,5,Bundesliga
Hirving Lozano,SSC Napoli,26,attack,Mexico,40500000.0,3,Serie A
Luis Alberto,SS Lazio,28,midfield,Spain,40500000.0,4,Serie A
Wilfried Zaha,Crystal Palace,28,attack,Cote d'Ivoire,40500000.0,2,Premier League
Anthony Martial,Manchester United,25,attack,France,40500000.0,3,Premier League
Fabián Ruiz,SSC Napoli,25,midfield,Spain,40500000.0,2,Serie A
Diego Carlos,Sevilla FC,28,Defender,Brazil,40500000.0,3,La Liga
André Silva,RB Leipzig,25,attack,Portugal,40500000.0,5,Bundesliga
Memphis Depay,FC Barcelona,27,attack,Netherlands,40500000.0,2,La Liga
Mateo Kovacic,Chelsea FC,27,midfield,Croatia,40500000.0,3,Premier League
Diogo Jota,Liverpool FC,24,attack,Portugal,40500000.0,4,Premier League
Cristiano Ronaldo,Juventus FC,36,attack,Portugal,40500000.0,1,Serie A
Jorginho,Chelsea FC,29,midfield,Italy,40500000.0,2,Premier League
Álvaro Morata,Juventus FC,28,attack,Spain,40500000.0,1,Serie A
Ben Chilwell,Chelsea FC,24,Defender,England,40500000.0,4,Premier League
Aymeric Laporte,Manchester City,27,Defender,Spain,40500000.0,4,Premier League
Christopher Nkunku,RB Leipzig,23,midfield,France,38700000.0,3,Bundesliga
Marcel Sabitzer,RB Leipzig,27,midfield,Austria,37800000.0,1,Bundesliga
Houssem Aouar,Olympique Lyon,23,midfield,France,37800000.0,2,Ligue 1
Luke Shaw,Manchester United,26,Defender,England,37800000.0,2,Premier League
Riyad Mahrez,Manchester City,30,attack,Algeria,37800000.0,2,Premier League
Yannick Carrasco,Atlético de Madrid,27,attack,Belgium,36000000.0,3,La Liga
Dejan Kulusevski,Juventus FC,21,attack,Sweden,36000000.0,4,Serie A
Christian Eriksen,Inter Milan,29,midfield,Denmark,36000000.0,3,Serie A
Wesley Fofana,Leicester City,20,Defender,France,36000000.0,4,Premier League
Raphaël Guerreiro,Borussia Dortmund,27,Defender,Portugal,36000000.0,2,Bundesliga
Thomas Partey,Arsenal FC,28,midfield,Ghana,36000000.0,4,Premier League
Vinícius Júnior,Real Madrid,21,attack,Brazil,36000000.0,4,La Liga
Kalvin Phillips,Leeds United,25,midfield,England,36000000.0,3,Premier League
Rodrigo de Paul,Atlético de Madrid,27,midfield,Argentina,36000000.0,5,La Liga
Saúl Ñíguez,Atlético de Madrid,26,midfield,Spain,36000000.0,5,La Liga
Nicolò Zaniolo,AS Roma,22,midfield,Italy,36000000.0,3,Serie A
Ángel Correa,Atlético de Madrid,26,attack,Argentina,36000000.0,3,La Liga
Reece James,Chelsea FC,21,Defender,England,36000000.0,4,Premier League
Gerard Moreno,Villarreal CF,29,attack,Spain,36000000.0,6,La Liga
Lorenzo Pellegrini,AS Roma,25,midfield,Italy,36000000.0,1,Serie A
Marcelo Brozovic,Inter Milan,28,midfield,Croatia,36000000.0,1,Serie A
Tomas Soucek,West Ham United,26,midfield,Czech Republic,36000000.0,3,Premier League
Ilkay Gündogan,Manchester City,30,midfield,Germany,36000000.0,2,Premier League
Lucas Ocampos,Sevilla FC,27,attack,Argentina,36000000.0,3,La Liga
Mauro Icardi,Paris Saint-Germain,28,attack,Argentina,36000000.0,3,Ligue 1
Youssef En-Nesyri,Sevilla FC,24,attack,Morocco,36000000.0,4,La Liga
Dusan Vlahovic,ACF Fiorentina,21,attack,Serbia,36000000.0,2,Serie A
Carlos Soler,Valencia CF,24,midfield,Spain,36000000.0,2,La Liga
Alexander Isak,Real Sociedad,21,attack,Sweden,36000000.0,5,La Liga
Presnel Kimpembe,Paris Saint-Germain,26,Defender,France,36000000.0,3,Ligue 1
Mikel Merino,Real Sociedad,25,midfield,Spain,36000000.0,4,La Liga
Arthur,Juventus FC,25,midfield,Brazil,36000000.0,4,Serie A
Edmond Tapsoba,Bayer 04 Leverkusen,22,Defender,Burkina Faso,36000000.0,5,Bundesliga
Toni Kroos,Real Madrid,31,midfield,Germany,36000000.0,2,La Liga
Pierre-Emile Höjbjerg,Tottenham Hotspur,26,midfield,Denmark,36000000.0,4,Premier League
Eden Hazard,Real Madrid,30,attack,Belgium,36000000.0,3,La Liga
Aaron Wan-Bissaka,Manchester United,23,Defender,England,36000000.0,3,Premier League
Martin Ødegaard,Real Madrid,22,midfield,Norway,36000000.0,2,La Liga
Éder Militão,Real Madrid,23,Defender,Brazil,36000000.0,4,La Liga
Jamal Musiala,Bayern Munich,18,midfield,Germany,34200000.0,5,Bundesliga
Moussa Diaby,Bayer 04 Leverkusen,22,attack,France,34200000.0,4,Bundesliga
Tammy Abraham,Chelsea FC,23,attack,England,34200000.0,2,Premier League
Giovanni Reyna,Borussia Dortmund,18,midfield,United States,34200000.0,4,Bundesliga
Ismaël Bennacer,AC Milan,23,midfield,Algeria,34200000.0,3,Serie A
Ciro Immobile,SS Lazio,31,attack,Italy,34200000.0,4,Serie A
Hakim Ziyech,Chelsea FC,28,midfield,Morocco,34200000.0,4,Premier League
Boubacar Kamara,Olympique Marseille,21,midfield,France,33300000.0,1,Ligue 1
Scott McTominay,Manchester United,24,midfield,Scotland,31500000.0,4,Premier League
Cristian Romero,Tottenham Hotspur,23,Defender,Argentina,31500000.0,1,Premier League
Domenico Berardi,US Sassuolo,27,attack,Italy,31500000.0,3,Serie A
Moise Kean,Everton FC,21,attack,Italy,31500000.0,3,Premier League
Harvey Barnes,Leicester City,23,midfield,England,31500000.0,3,Premier League
Wissam Ben Yedder,AS Monaco,31,attack,France,31500000.0,3,Ligue 1
Angeliño,RB Leipzig,24,Defender,Spain,31500000.0,4,Bundesliga
Florian Neuhaus,Borussia Mönchengladbach,24,midfield,Germany,31500000.0,3,Bundesliga
Pedro Neto,Wolverhampton Wanderers,21,attack,Portugal,31500000.0,4,Premier League
Lucas Digne,Everton FC,28,Defender,France,31500000.0,4,Premier League
Marcus Thuram,Borussia Mönchengladbach,24,attack,France,31500000.0,2,Bundesliga
Lucas Paquetá,Olympique Lyon,23,midfield,Brazil,31500000.0,4,Ligue 1
Manuel Locatelli,US Sassuolo,23,midfield,Italy,31500000.0,2,Serie A
Andrea Belotti,Torino FC,27,attack,Italy,31500000.0,1,Serie A
Emiliano Martínez,Aston Villa,28,Goalkeeper,Argentina,31500000.0,3,Premier League
Douglas Luiz,Aston Villa,23,midfield,Brazil,31500000.0,2,Premier League
Filip Kostic,Eintracht Frankfurt,28,midfield,Serbia,31500000.0,2,Bundesliga
Leon Bailey,Aston Villa,24,attack,Jamaica,31500000.0,4,Premier League
Emiliano Buendía,Aston Villa,24,attack,Argentina,31500000.0,5,Premier League
José Gayà,Valencia CF,26,Defender,Spain,31500000.0,2,La Liga
Ibrahima Konaté,Liverpool FC,22,Defender,France,31500000.0,5,Premier League
Mario Hermoso,Atlético de Madrid,26,Defender,Spain,31500000.0,3,La Liga
Robin Gosens,Atalanta BC,27,Defender,Germany,31500000.0,2,Serie A
Jonathan David,LOSC Lille,21,attack,Canada,31500000.0,4,Ligue 1
Rodrygo,Real Madrid,20,attack,Brazil,31500000.0,4,La Liga
Marco Asensio,Real Madrid,25,attack,Spain,31500000.0,2,La Liga
Hakan Calhanoglu,Inter Milan,27,midfield,Turkey,31500000.0,3,Serie A
Niklas Süle,Bayern Munich,25,Defender,Germany,31500000.0,1,Bundesliga
Rodrigo Bentancur,Juventus FC,24,midfield,Uruguay,31500000.0,3,Serie A
Nicolas Pépé,Arsenal FC,26,attack,Cote d'Ivoire,31500000.0,3,Premier League
Benjamin Pavard,Bayern Munich,25,Defender,France,31500000.0,3,Bundesliga
Jordan Veretout,AS Roma,28,midfield,France,29700000.0,3,Serie A
Duván Zapata,Atalanta BC,30,attack,Colombia,29700000.0,2,Serie A
Ollie Watkins,Aston Villa,25,attack,England,28800000.0,4,Premier League
Davinson Sánchez,Tottenham Hotspur,25,Defender,Colombia,28800000.0,3,Premier League
Ante Rebic,AC Milan,27,attack,Croatia,28800000.0,4,Serie A
Nathan Aké,Manchester City,26,Defender,Netherlands,28800000.0,4,Premier League
Naby Keïta,Liverpool FC,26,midfield,Guinea,28800000.0,2,Premier League
Callum Hudson-Odoi,Chelsea FC,20,attack,England,28800000.0,3,Premier League
Kieran Tierney,Arsenal FC,24,Defender,Scotland,28800000.0,5,Premier League
Kurt Zouma,Chelsea FC,26,Defender,France,28800000.0,2,Premier League
Adrien Rabiot,Juventus FC,26,midfield,France,27000000.0,2,Serie A
James Ward-Prowse,Southampton FC,26,midfield,England,27000000.0,4,Premier League
Tyrone Mings,Aston Villa,28,Defender,England,27000000.0,3,Premier League
Sergiño Dest,FC Barcelona,20,Defender,United States,27000000.0,4,La Liga
Jonathan Ikoné,LOSC Lille,23,attack,France,27000000.0,2,Ligue 1
Kevin Volland,AS Monaco,29,attack,Germany,27000000.0,3,Ligue 1
Jarrod Bowen,West Ham United,24,attack,England,27000000.0,4,Premier League
Raphinha,Leeds United,24,attack,Brazil,27000000.0,3,Premier League
Joan Jordán,Sevilla FC,27,midfield,Spain,27000000.0,2,La Liga
Matheus Cunha,Hertha BSC,22,attack,Brazil,27000000.0,4,Bundesliga
Gianluca Mancini,AS Roma,25,Defender,Italy,27000000.0,3,Serie A
Bruno Guimarães,Olympique Lyon,23,midfield,Brazil,27000000.0,3,Ligue 1
Matthias Ginter,Borussia Mönchengladbach,27,Defender,Germany,27000000.0,1,Bundesliga
Manuel Akanji,Borussia Dortmund,26,Defender,Switzerland,27000000.0,2,Bundesliga
Curtis Jones,Liverpool FC,20,midfield,England,27000000.0,4,Premier League
Aurélien Tchouaméni,AS Monaco,21,midfield,France,27000000.0,3,Ligue 1
Denis Zakaria,Borussia Mönchengladbach,24,midfield,Switzerland,27000000.0,1,Bundesliga
Leander Dendoncker,Wolverhampton Wanderers,26,midfield,Belgium,27000000.0,2,Premier League
Daniel Carvajal,Real Madrid,29,Defender,Spain,27000000.0,4,La Liga
John Stones,Manchester City,27,Defender,England,27000000.0,5,Premier League
John McGinn,Aston Villa,26,midfield,Scotland,27000000.0,4,Premier League
Adama Traoré,Wolverhampton Wanderers,25,attack,Spain,27000000.0,2,Premier League
Amine Gouiri,OGC Nice,21,attack,France,27000000.0,3,Ligue 1
Allan Saint-Maximin,Newcastle United,24,attack,France,27000000.0,5,Premier League
Wout Weghorst,VfL Wolfsburg,29,attack,Netherlands,27000000.0,2,Bundesliga
Luis Muriel,Atalanta BC,30,attack,Colombia,27000000.0,2,Serie A
Dele Alli,Tottenham Hotspur,25,midfield,England,27000000.0,3,Premier League
Joe Gomez,Liverpool FC,24,Defender,England,27000000.0,3,Premier League
Matteo Politano,SSC Napoli,28,attack,Italy,27000000.0,3,Serie A
Renato Sanches,LOSC Lille,23,midfield,Portugal,27000000.0,2,Ligue 1
Bryan Gil,Tottenham Hotspur,20,attack,Spain,27000000.0,5,Premier League
Georginio Wijnaldum,Paris Saint-Germain,30,midfield,Netherlands,27000000.0,3,Ligue 1
Thiago,Liverpool FC,30,midfield,Spain,27000000.0,3,Premier League
Joaquín Correa,SS Lazio,27,attack,Argentina,27000000.0,3,Serie A
Philippe Coutinho,FC Barcelona,29,midfield,Brazil,27000000.0,2,La Liga
Donny van de Beek,Manchester United,24,midfield,Netherlands,27000000.0,4,Premier League
Andreas Christensen,Chelsea FC,25,Defender,Denmark,27000000.0,1,Premier League
Donyell Malen,Borussia Dortmund,22,attack,Netherlands,27000000.0,5,Bundesliga
Thomas Müller,Bayern Munich,31,attack,Germany,27000000.0,2,Bundesliga
Ricardo Pereira,Leicester City,27,Defender,Portugal,27000000.0,2,Premier League
Ruslan Malinovskyi,Atalanta BC,28,midfield,Ukraine,27000000.0,2,Serie A
Raúl Jiménez,Wolverhampton Wanderers,30,attack,Mexico,25200000.0,3,Premier League
Andrej Kramaric,TSG 1899 Hoffenheim,30,attack,Croatia,25200000.0,1,Bundesliga
Merih Demiral,Atalanta BC,23,Defender,Turkey,25200000.0,1,Serie A
Kyle Walker,Manchester City,31,Defender,England,25200000.0,3,Premier League
Maxence Lacroix,VfL Wolfsburg,21,Defender,France,25200000.0,3,Bundesliga
Antonio Rüdiger,Chelsea FC,28,Defender,Germany,25200000.0,1,Premier League
Evan N'Dicka,Eintracht Frankfurt,21,Defender,France,25200000.0,2,Bundesliga
Ben White,Arsenal FC,23,Defender,England,25200000.0,5,Premier League
Fikayo Tomori,AC Milan,23,Defender,England,25200000.0,4,Serie A
Benoît Badiashile,AS Monaco,20,Defender,France,25200000.0,3,Ligue 1
Nélson Semedo,Wolverhampton Wanderers,27,Defender,Portugal,25200000.0,2,Premier League
Timothy Castagne,Leicester City,25,Defender,Belgium,25200000.0,4,Premier League
Boubakary Soumaré,Leicester City,22,midfield,France,25200000.0,5,Premier League
Sven Botman,LOSC Lille,21,Defender,Netherlands,25200000.0,4,Ligue 1
Oleksandr Zinchenko,Manchester City,24,Defender,Ukraine,25200000.0,3,Premier League
James Rodríguez,Everton FC,30,midfield,Colombia,25200000.0,1,Premier League
Patrik Schick,Bayer 04 Leverkusen,25,attack,Czech Republic,25200000.0,4,Bundesliga
Aleksandr Golovin,AS Monaco,25,midfield,Russia,25200000.0,3,Ligue 1
Alexandre Lacazette,Arsenal FC,30,attack,France,25200000.0,1,Premier League
Nico Elvedi,Borussia Mönchengladbach,24,Defender,Switzerland,25200000.0,3,Bundesliga
Rayan Cherki,Olympique Lyon,17,midfield,France,24300000.0,2,Ligue 1
Giovani Lo Celso,Tottenham Hotspur,25,midfield,Argentina,24300000.0,4,Premier League
Thorgan Hazard,Borussia Dortmund,28,attack,Belgium,24300000.0,3,Bundesliga
Dani Ceballos,Real Madrid,25,midfield,Spain,24300000.0,2,La Liga
Sandro Tonali,AC Milan,21,midfield,Italy,24300000.0,5,Serie A
Xaver Schlager,VfL Wolfsburg,23,midfield,Austria,24300000.0,2,Bundesliga
Lukas Klostermann,RB Leipzig,25,Defender,Germany,24300000.0,3,Bundesliga
Emre Can,Borussia Dortmund,27,midfield,Germany,23400000.0,3,Bundesliga
Konrad Laimer,RB Leipzig,24,midfield,Austria,23400000.0,2,Bundesliga
Leonardo Spinazzola,AS Roma,28,Defender,Italy,23400000.0,3,Serie A
Jérémy Doku,Stade Rennais FC,19,attack,Belgium,23400000.0,4,Ligue 1
Jonathan Bamba,LOSC Lille,25,midfield,France,22500000.0,2,Ligue 1
Renan Lodi,Atlético de Madrid,23,Defender,Brazil,22500000.0,4,La Liga
James Tarkowski,Burnley FC,28,Defender,England,22500000.0,1,Premier League
Jordan Pickford,Everton FC,27,Goalkeeper,England,22500000.0,3,Premier League
Gabriel,Arsenal FC,23,Defender,Brazil,22500000.0,4,Premier League
André Zambo Anguissa,Fulham FC,25,midfield,Cameroon,22500000.0,2,Premier League
Pierre-Emerick Aubameyang,Arsenal FC,32,attack,Gabon,22500000.0,2,Premier League
Remo Freuler,Atalanta BC,29,midfield,Switzerland,22500000.0,1,Serie A
Daichi Kamada,Eintracht Frankfurt,25,midfield,Japan,22500000.0,2,Bundesliga
Silas Katompa Mvumpa,VfB Stuttgart,22,midfield,DR Congo,22500000.0,3,Bundesliga
Dominik Szoboszlai,RB Leipzig,20,attack,Hungary,22500000.0,5,Bundesliga
Michael Keane,Everton FC,28,Defender,England,22500000.0,4,Premier League
Nordi Mukiele,RB Leipzig,23,Defender,France,22500000.0,2,Bundesliga
Nabil Fekir,Real Betis Balompié,28,midfield,France,22500000.0,2,La Liga
Nikola Milenkovic,ACF Fiorentina,23,Defender,Serbia,22500000.0,1,Serie A
Ridle Baku,VfL Wolfsburg,23,Defender,Germany,22500000.0,4,Bundesliga
Gonçalo Guedes,Valencia CF,24,attack,Portugal,22500000.0,2,La Liga
Emerson Royal,FC Barcelona,22,Defender,Brazil,22500000.0,3,La Liga
Edouard Mendy,Chelsea FC,29,Goalkeeper,Senegal,22500000.0,4,Premier League
Ben Godfrey,Everton FC,23,Defender,England,22500000.0,4,Premier League
Maxi Gómez,Valencia CF,25,attack,Uruguay,22500000.0,3,La Liga
Thilo Kehrer,Paris Saint-Germain,24,Defender,Germany,22500000.0,2,Ligue 1
Abdoulaye Doucouré,Everton FC,28,midfield,France,22500000.0,2,Premier League
Abdou Diallo,Paris Saint-Germain,25,Defender,Senegal,22500000.0,3,Ligue 1
Stefan Savic,Atlético de Madrid,30,Defender,Montenegro,22500000.0,3,La Liga
Lucas Moura,Tottenham Hotspur,29,attack,Brazil,22500000.0,3,Premier League
Ronald Araújo,FC Barcelona,22,Defender,Uruguay,22500000.0,2,La Liga
Karim Benzema,Real Madrid,33,attack,France,22500000.0,1,La Liga
Daniel Podence,Wolverhampton Wanderers,25,attack,Portugal,22500000.0,3,Premier League
Fábio Silva,Wolverhampton Wanderers,19,attack,Portugal,22500000.0,4,Premier League
Iñaki Williams,Athletic Bilbao,27,attack,Spain,22500000.0,7,La Liga
Yves Bissouma,Brighton &amp; Hove Albion,24,midfield,Mali,22500000.0,2,Premier League
Weston McKennie,Juventus FC,22,midfield,United States,22500000.0,4,Serie A
Roger Ibañez,AS Roma,22,Defender,Brazil,22500000.0,4,Serie A
Lewis Dunk,Brighton &amp; Hove Albion,29,Defender,England,22500000.0,4,Premier League
Mike Maignan,AC Milan,26,Goalkeeper,France,22500000.0,5,Serie A
Sergio Reguilón,Tottenham Hotspur,24,Defender,Spain,22500000.0,4,Premier League
Thomas Lemar,Atlético de Madrid,25,midfield,France,22500000.0,2,La Liga
Wojciech Szczesny,Juventus FC,31,Goalkeeper,Poland,22500000.0,3,Serie A
Héctor Bellerín,Arsenal FC,26,Defender,Spain,22500000.0,2,Premier League
Conor Coady,Wolverhampton Wanderers,28,Defender,England,22500000.0,4,Premier League
Clément Lenglet,FC Barcelona,26,Defender,France,22500000.0,5,La Liga
Marash Kumbulla,AS Roma,21,Defender,Albania,22500000.0,1,Serie A
Jason Denayer,Olympique Lyon,26,Defender,Belgium,22500000.0,1,Ligue 1
Alessio Romagnoli,AC Milan,26,Defender,Italy,22500000.0,1,Serie A
Rafael Leão,AC Milan,22,attack,Portugal,22500000.0,3,Serie A
Ezri Konsa,Aston Villa,23,Defender,England,22500000.0,5,Premier League
Davide Calabria,AC Milan,24,Defender,Italy,22500000.0,4,Serie A
Pablo Sarabia,Paris Saint-Germain,29,attack,Spain,22500000.0,3,Ligue 1
Jan Bednarek,Southampton FC,25,Defender,Poland,22500000.0,4,Premier League
Ozan Kabak,FC Schalke 04,21,Defender,Turkey,22500000.0,3,Bundesliga
Duje Caleta-Car,Olympique Marseille,24,Defender,Croatia,22500000.0,2,Ligue 1
Victor Lindelöf,Manchester United,27,Defender,Sweden,21600000.0,3,Premier League
Giovanni Di Lorenzo,SSC Napoli,28,Defender,Italy,21600000.0,5,Serie A
Amadou Haidara,RB Leipzig,23,midfield,Mali,21600000.0,4,Bundesliga
Mario Pasalic,Atalanta BC,26,midfield,Croatia,20700000.0,4,Serie A
Marten de Roon,Atalanta BC,30,midfield,Netherlands,20700000.0,3,Serie A
Konstantinos Manolas,SSC Napoli,30,Defender,Greece,20700000.0,3,Serie A
Ramy Bensebaini,Borussia Mönchengladbach,26,Defender,Algeria,19800000.0,2,Bundesliga
Robin Le Normand,Real Sociedad,24,Defender,France,19800000.0,3,La Liga
Jonathan Tah,Bayer 04 Leverkusen,25,Defender,Germany,19800000.0,2,Bundesliga
Alassane Plea,Borussia Mönchengladbach,28,attack,France,19800000.0,2,Bundesliga
Nahitan Nández,Cagliari Calcio,25,midfield,Uruguay,19800000.0,3,Serie A
Dwight McNeil,Burnley FC,21,attack,England,19800000.0,3,Premier League
Christoph Baumgartner,TSG 1899 Hoffenheim,22,midfield,Austria,19800000.0,4,Bundesliga
Nicolás González,ACF Fiorentina,23,attack,Argentina,19800000.0,5,Serie A
Joachim Andersen,Crystal Palace,25,Defender,Denmark,19800000.0,5,Premier League
Orel Mangala,VfB Stuttgart,23,midfield,Belgium,19800000.0,3,Bundesliga
